# vis: 4th_split
# correlation: XY
# channel average: 2048
# time average: 300s
# baseline average: True
# spw average: True
# From plot 0
# x y chan scan field ant1 ant2 ant1name ant2name time freq spw corr obs
# Time Imag None None None None None None None MJD(seconds) GHz None None None
5067838999.929 2.02222e-05 0 1 0 -1 -1 * * 5067838999.929 2.100501003 0 XY 0
5067839449.930 0.000201267 0 1 0 -1 -1 * * 5067839449.930 2.100501001 0 XY 0
5067839899.931 1.46527e-05 0 1 0 -1 -1 * * 5067839899.931 2.100500995 0 XY 0
5067840349.929 -5.7624e-05 0 1 0 -1 -1 * * 5067840349.929 2.100500992 0 XY 0
5067840929.930 -0.000231779 0 2 0 -1 -1 * * 5067840929.930 2.100500981 0 XY 0
5067841529.930 1.44653e-05 0 2 0 -1 -1 * * 5067841529.930 2.100500971 0 XY 0
5067842129.930 4.98739e-05 0 2 0 -1 -1 * * 5067842129.930 2.100500958 0 XY 0
5067842859.931 5.97009e-05 0 3 0 -1 -1 * * 5067842859.931 2.100500941 0 XY 0
5067843309.929 0.000110186 0 3 0 -1 -1 * * 5067843309.929 2.100500933 0 XY 0
5067843759.930 -0.000205347 0 3 0 -1 -1 * * 5067843759.930 2.100500915 0 XY 0
5067844209.931 2.48443e-05 0 3 0 -1 -1 * * 5067844209.931 2.100500906 0 XY 0
5067844639.929 -1.62039e-05 0 4 0 -1 -1 * * 5067844639.929 2.100500892 0 XY 0
5067845089.930 4.75629e-05 0 4 0 -1 -1 * * 5067845089.930 2.100500871 0 XY 0
5067845539.929 -0.000240181 0 4 0 -1 -1 * * 5067845539.929 2.100500860 0 XY 0
5067845989.929 0.00012118 0 4 0 -1 -1 * * 5067845989.929 2.100500836 0 XY 0
5067846719.930 3.62364e-05 0 5 0 -1 -1 * * 5067846719.930 2.100500805 0 XY 0
5067847319.930 4.66127e-05 0 5 0 -1 -1 * * 5067847319.930 2.100500778 0 XY 0
5067847769.928 1.63727e-05 0 5 0 -1 -1 * * 5067847769.928 2.100500764 0 XY 0
5067848069.930 -6.94248e-05 0 5 0 -1 -1 * * 5067848069.930 2.100500749 0 XY 0
5067848499.929 -5.27307e-05 0 6 0 -1 -1 * * 5067848499.929 2.100500728 0 XY 0
5067848949.930 -2.82119e-05 0 6 0 -1 -1 * * 5067848949.930 2.100500697 0 XY 0
5067849549.930 -7.79881e-05 0 6 0 -1 -1 * * 5067849549.930 2.100500664 0 XY 0
5067849999.931 -0.000170184 0 6 0 -1 -1 * * 5067849999.931 2.100500647 0 XY 0
5067850579.929 1.09892e-05 0 7 0 -1 -1 * * 5067850579.929 2.100500606 0 XY 0
5067851179.929 -1.60147e-05 0 7 0 -1 -1 * * 5067851179.929 2.100500570 0 XY 0
5067851779.930 -2.90684e-05 0 7 0 -1 -1 * * 5067851779.930 2.100500533 0 XY 0
5067852509.930 2.94368e-05 0 8 0 -1 -1 * * 5067852509.930 2.100500487 0 XY 0
5067853109.930 -0.00010522 0 8 0 -1 -1 * * 5067853109.930 2.100500448 0 XY 0
5067853709.930 -2.2355e-05 0 8 0 -1 -1 * * 5067853709.930 2.100500408 0 XY 0
5067854289.929 1.07185e-05 0 9 0 -1 -1 * * 5067854289.929 2.100500379 0 XY 0
5067854739.930 3.47206e-05 0 9 0 -1 -1 * * 5067854739.930 2.100500338 0 XY 0
5067855324.928 4.90901e-05 0 9 0 -1 -1 * * 5067855324.928 2.100500297 0 XY 0
5067856249.930 4.08619e-05 0 10 0 -1 -1 * * 5067856249.930 2.100500232 0 XY 0
5067856699.928 -0.000152514 0 10 0 -1 -1 * * 5067856699.928 2.100500210 0 XY 0
5067856999.930 3.95721e-05 0 10 0 -1 -1 * * 5067856999.930 2.100500189 0 XY 0
5067857449.931 -4.24651e-06 0 10 0 -1 -1 * * 5067857449.931 2.100500145 0 XY 0
5067858029.929 0.000135144 0 11 0 -1 -1 * * 5067858029.929 2.100500114 0 XY 0
5067858479.930 -0.000210338 0 11 0 -1 -1 * * 5067858479.930 2.100500070 0 XY 0
5067859079.930 -2.63122e-05 0 11 0 -1 -1 * * 5067859079.930 2.100500026 0 XY 0
5067859529.931 1.78741e-06 0 11 0 -1 -1 * * 5067859529.931 2.100500004 0 XY 0
5067859959.930 7.50162e-05 0 12 0 -1 -1 * * 5067859959.930 2.100499973 0 XY 0
