# vis: 4th_split
# correlation: YX
# channel average: 2048
# time average: 300s
# baseline average: True
# spw average: True
# From plot 0
# x y chan scan field ant1 ant2 ant1name ant2name time freq spw corr obs
# Time Imag None None None None None None None MJD(seconds) GHz None None None
5067838999.929 0.000134619 0 1 0 -1 -1 * * 5067838999.929 2.100501003 0 YX 0
5067839449.930 8.34382e-05 0 1 0 -1 -1 * * 5067839449.930 2.100501001 0 YX 0
5067839899.931 -0.000113378 0 1 0 -1 -1 * * 5067839899.931 2.100500995 0 YX 0
5067840349.929 0.000171944 0 1 0 -1 -1 * * 5067840349.929 2.100500992 0 YX 0
5067840929.930 0.000125618 0 2 0 -1 -1 * * 5067840929.930 2.100500981 0 YX 0
5067841529.930 -1.84282e-06 0 2 0 -1 -1 * * 5067841529.930 2.100500971 0 YX 0
5067842129.930 -0.000123942 0 2 0 -1 -1 * * 5067842129.930 2.100500958 0 YX 0
5067842859.931 8.13719e-07 0 3 0 -1 -1 * * 5067842859.931 2.100500941 0 YX 0
5067843309.929 0.000177196 0 3 0 -1 -1 * * 5067843309.929 2.100500933 0 YX 0
5067843759.930 4.71519e-05 0 3 0 -1 -1 * * 5067843759.930 2.100500915 0 YX 0
5067844209.931 6.76247e-05 0 3 0 -1 -1 * * 5067844209.931 2.100500906 0 YX 0
5067844639.929 -0.000131843 0 4 0 -1 -1 * * 5067844639.929 2.100500892 0 YX 0
5067845089.930 -7.40498e-05 0 4 0 -1 -1 * * 5067845089.930 2.100500871 0 YX 0
5067845539.929 -2.31144e-05 0 4 0 -1 -1 * * 5067845539.929 2.100500860 0 YX 0
5067845989.929 0.000254248 0 4 0 -1 -1 * * 5067845989.929 2.100500836 0 YX 0
5067846719.930 1.37717e-05 0 5 0 -1 -1 * * 5067846719.930 2.100500805 0 YX 0
5067847319.930 -4.64512e-05 0 5 0 -1 -1 * * 5067847319.930 2.100500778 0 YX 0
5067847769.928 -8.83815e-05 0 5 0 -1 -1 * * 5067847769.928 2.100500764 0 YX 0
5067848069.930 0.000162764 0 5 0 -1 -1 * * 5067848069.930 2.100500749 0 YX 0
5067848499.929 -6.13172e-05 0 6 0 -1 -1 * * 5067848499.929 2.100500728 0 YX 0
5067848949.930 -0.000142291 0 6 0 -1 -1 * * 5067848949.930 2.100500697 0 YX 0
5067849549.930 0.000125517 0 6 0 -1 -1 * * 5067849549.930 2.100500664 0 YX 0
5067849999.931 9.15824e-05 0 6 0 -1 -1 * * 5067849999.931 2.100500647 0 YX 0
5067850579.929 -9.75716e-06 0 7 0 -1 -1 * * 5067850579.929 2.100500606 0 YX 0
5067851179.929 7.38497e-06 0 7 0 -1 -1 * * 5067851179.929 2.100500570 0 YX 0
5067851779.930 0.000106866 0 7 0 -1 -1 * * 5067851779.930 2.100500533 0 YX 0
5067852509.930 -6.57553e-05 0 8 0 -1 -1 * * 5067852509.930 2.100500487 0 YX 0
5067853109.930 -3.90437e-05 0 8 0 -1 -1 * * 5067853109.930 2.100500448 0 YX 0
5067853709.930 3.6147e-05 0 8 0 -1 -1 * * 5067853709.930 2.100500408 0 YX 0
5067854289.929 -2.98067e-05 0 9 0 -1 -1 * * 5067854289.929 2.100500379 0 YX 0
5067854739.930 0.000147509 0 9 0 -1 -1 * * 5067854739.930 2.100500338 0 YX 0
5067855324.928 -0.000157373 0 9 0 -1 -1 * * 5067855324.928 2.100500297 0 YX 0
5067856249.930 -0.000218049 0 10 0 -1 -1 * * 5067856249.930 2.100500232 0 YX 0
5067856699.928 0.000267512 0 10 0 -1 -1 * * 5067856699.928 2.100500210 0 YX 0
5067856999.930 6.17758e-05 0 10 0 -1 -1 * * 5067856999.930 2.100500189 0 YX 0
5067857449.931 -6.75638e-05 0 10 0 -1 -1 * * 5067857449.931 2.100500145 0 YX 0
5067858029.929 -8.41884e-05 0 11 0 -1 -1 * * 5067858029.929 2.100500114 0 YX 0
5067858479.930 4.22401e-05 0 11 0 -1 -1 * * 5067858479.930 2.100500070 0 YX 0
5067859079.930 9.79899e-05 0 11 0 -1 -1 * * 5067859079.930 2.100500026 0 YX 0
5067859529.931 0.000158757 0 11 0 -1 -1 * * 5067859529.931 2.100500004 0 YX 0
5067859959.930 2.80814e-05 0 12 0 -1 -1 * * 5067859959.930 2.100499973 0 YX 0
5067860409.931 -2.71586e-05 0 12 0 -1 -1 * * 5067860409.931 2.100499929 0 YX 0
5067860769.930 0.000321209 0 12 0 -1 -1 * * 5067860769.930 2.100499913 0 YX 0
5067861409.929 -8.10729e-05 0 13 0 -1 -1 * * 5067861409.929 2.100499867 0 YX 0
5067861859.930 -3.8271e-05 0 13 0 -1 -1 * * 5067861859.930 2.100499823 0 YX 0
5067862309.929 6.54899e-05 0 13 0 -1 -1 * * 5067862309.929 2.100499802 0 YX 0
5067862759.929 0.000149653 0 13 0 -1 -1 * * 5067862759.929 2.100499759 0 YX 0
5067863489.930 0.000117662 0 14 0 -1 -1 * * 5067863489.930 2.100499707 0 YX 0
5067864089.930 -8.61218e-05 0 14 0 -1 -1 * * 5067864089.930 2.100499665 0 YX 0
5067864539.928 5.35636e-05 0 14 0 -1 -1 * * 5067864539.928 2.100499645 0 YX 0
5067864839.930 6.76457e-05 0 14 0 -1 -1 * * 5067864839.930 2.100499624 0 YX 0
