# vis: 4th_split
# correlation: XX
# channel average: 2048
# time average: 300s
# baseline average: True
# spw average: True
# From plot 0
# x y chan scan field ant1 ant2 ant1name ant2name time freq spw corr obs
# Time Real None None None None None None None MJD(seconds) GHz None None None
5067838999.929 3.01283e-05 0 1 0 -1 -1 * * 5067838999.929 2.100501003 0 XX 0
5067839449.930 0.000144878 0 1 0 -1 -1 * * 5067839449.930 2.100501001 0 XX 0
5067839899.931 1.26426e-05 0 1 0 -1 -1 * * 5067839899.931 2.100500995 0 XX 0
5067840349.929 -0.000239006 0 1 0 -1 -1 * * 5067840349.929 2.100500992 0 XX 0
5067840929.930 0.000165286 0 2 0 -1 -1 * * 5067840929.930 2.100500981 0 XX 0
5067841529.930 -1.08346e-05 0 2 0 -1 -1 * * 5067841529.930 2.100500971 0 XX 0
5067842129.930 3.05687e-05 0 2 0 -1 -1 * * 5067842129.930 2.100500958 0 XX 0
5067842859.931 3.14962e-06 0 3 0 -1 -1 * * 5067842859.931 2.100500941 0 XX 0
5067843309.929 -1.46959e-05 0 3 0 -1 -1 * * 5067843309.929 2.100500933 0 XX 0
5067843759.930 0.000127763 0 3 0 -1 -1 * * 5067843759.930 2.100500915 0 XX 0
5067844209.931 7.41707e-06 0 3 0 -1 -1 * * 5067844209.931 2.100500906 0 XX 0
5067844639.929 -5.84646e-05 0 4 0 -1 -1 * * 5067844639.929 2.100500892 0 XX 0
5067845089.930 8.33875e-05 0 4 0 -1 -1 * * 5067845089.930 2.100500871 0 XX 0
5067845539.929 0.00017185 0 4 0 -1 -1 * * 5067845539.929 2.100500860 0 XX 0
5067845989.929 0.000121962 0 4 0 -1 -1 * * 5067845989.929 2.100500836 0 XX 0
5067846719.930 7.90551e-05 0 5 0 -1 -1 * * 5067846719.930 2.100500805 0 XX 0
5067847319.930 -3.50231e-06 0 5 0 -1 -1 * * 5067847319.930 2.100500778 0 XX 0
5067847769.928 0.000206859 0 5 0 -1 -1 * * 5067847769.928 2.100500764 0 XX 0
5067848069.930 9.69085e-05 0 5 0 -1 -1 * * 5067848069.930 2.100500749 0 XX 0
5067848499.929 -0.000232524 0 6 0 -1 -1 * * 5067848499.929 2.100500728 0 XX 0
5067848949.930 0.000192635 0 6 0 -1 -1 * * 5067848949.930 2.100500697 0 XX 0
5067849549.930 4.64502e-05 0 6 0 -1 -1 * * 5067849549.930 2.100500664 0 XX 0
5067849999.931 0.000267049 0 6 0 -1 -1 * * 5067849999.931 2.100500647 0 XX 0
5067850579.929 3.52288e-05 0 7 0 -1 -1 * * 5067850579.929 2.100500606 0 XX 0
5067851179.929 7.07671e-05 0 7 0 -1 -1 * * 5067851179.929 2.100500570 0 XX 0
5067851779.930 5.94619e-05 0 7 0 -1 -1 * * 5067851779.930 2.100500533 0 XX 0
5067852509.930 3.25948e-05 0 8 0 -1 -1 * * 5067852509.930 2.100500487 0 XX 0
5067853109.930 0.000200861 0 8 0 -1 -1 * * 5067853109.930 2.100500448 0 XX 0
5067853709.930 2.9236e-05 0 8 0 -1 -1 * * 5067853709.930 2.100500408 0 XX 0
5067854289.929 7.19787e-05 0 9 0 -1 -1 * * 5067854289.929 2.100500379 0 XX 0
5067854739.930 0.00017132 0 9 0 -1 -1 * * 5067854739.930 2.100500338 0 XX 0
