# vis: 4th_split
# correlation: YY
# channel average: 2048
# time average: 300s
# baseline average: True
# spw average: True
# From plot 0
# x y chan scan field ant1 ant2 ant1name ant2name time freq spw corr obs
# Time Real None None None None None None None MJD(seconds) GHz None None None
5067838999.929 -9.58156e-05 0 1 0 -1 -1 * * 5067838999.929 2.100501003 0 YY 0
5067839449.930 9.02049e-05 0 1 0 -1 -1 * * 5067839449.930 2.100501001 0 YY 0
5067839899.931 0.000144691 0 1 0 -1 -1 * * 5067839899.931 2.100500995 0 YY 0
5067840349.929 0.000173707 0 1 0 -1 -1 * * 5067840349.929 2.100500992 0 YY 0
5067840929.930 0.000167007 0 2 0 -1 -1 * * 5067840929.930 2.100500981 0 YY 0
5067841529.930 -4.85732e-05 0 2 0 -1 -1 * * 5067841529.930 2.100500971 0 YY 0
5067842129.930 1.73098e-05 0 2 0 -1 -1 * * 5067842129.930 2.100500958 0 YY 0
5067842859.931 -9.29188e-05 0 3 0 -1 -1 * * 5067842859.931 2.100500941 0 YY 0
5067843309.929 0.000159834 0 3 0 -1 -1 * * 5067843309.929 2.100500933 0 YY 0
5067843759.930 0.000107866 0 3 0 -1 -1 * * 5067843759.930 2.100500915 0 YY 0
5067844209.931 0.000124829 0 3 0 -1 -1 * * 5067844209.931 2.100500906 0 YY 0
5067844639.929 -1.79935e-05 0 4 0 -1 -1 * * 5067844639.929 2.100500892 0 YY 0
5067845089.930 -2.39132e-05 0 4 0 -1 -1 * * 5067845089.930 2.100500871 0 YY 0
5067845539.929 4.58111e-05 0 4 0 -1 -1 * * 5067845539.929 2.100500860 0 YY 0
5067845989.929 0.000211997 0 4 0 -1 -1 * * 5067845989.929 2.100500836 0 YY 0
5067846719.930 1.89203e-05 0 5 0 -1 -1 * * 5067846719.930 2.100500805 0 YY 0
5067847319.930 6.80023e-05 0 5 0 -1 -1 * * 5067847319.930 2.100500778 0 YY 0
5067847769.928 2.59877e-05 0 5 0 -1 -1 * * 5067847769.928 2.100500764 0 YY 0
5067848069.930 -5.28189e-05 0 5 0 -1 -1 * * 5067848069.930 2.100500749 0 YY 0
5067848499.929 -8.20583e-05 0 6 0 -1 -1 * * 5067848499.929 2.100500728 0 YY 0
